,< 1 mm organic debric,organic material,functional name,provided by Brian Hayden
3367,SB1 sooty shearwaters,Ardenna grisea,,provided by Brian Hayden et al. 2018-06-08
3368,SB2 common murre,Uria aalge,,provided by Brian Hayden et al. 2018-06-08
3369,SB3 gulls terns,Laridae,,provided by Brian Hayden et al. 2018-06-08
3370,SB6 seabirds,aves,,provided by Brian Hayden et al. 2018-06-08
3371,SB7 coastal seabirds divers,aves,,provided by Brian Hayden et al. 2018-06-08
3372,S. brevirostris,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3373,scaphopods,Scaphopoda,,provided by Brian Hayden et al. 2018-06-08
3374,Schizamminia,Schizammina,,provided by Brian Hayden et al. 2018-06-08
3375,Schizopodous forms,Malacostraca,,provided by Brian Hayden et al. 2018-06-08
3376,schizopods,Mysidacea,,provided by Brian Hayden et al. 2018-06-08
3377,schooling finfishes,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3378,schooling fishes,Mysidacea,,provided by Brian Hayden et al. 2018-06-08
3379,Schroderella,Schroederella,,provided by Brian Hayden et al. 2018-06-08
3380,sciaeinids,Sciaenidae,,provided by Brian Hayden et al. 2018-06-08
3381,sciaenids,Sciaenidae,,provided by Brian Hayden et al. 2018-06-08
3382,Sciaenids,Sciaenidae,,provided by Brian Hayden et al. 2018-06-08
3383,Sciaenop ocellatus,Sciaenops ocellatus,http://eol.org/pages/993263/overview,assumed typo
3384,Sciaenops ocellatus*,Sciaenops ocellatus,,
3385,Scianops ocellatus,Sciaenops ocellatus,http://eol.org/pages/993263,provided by Anne Thessen on 2015-06-05
3386,Scicyonia typica,Sicyonia typica,Torruco and Gonzalez 1994,
3387,Sci ocellatus,Sciaenops ocellatus,,
3388,Scirtidae broad,Coleoptera,,provided by Brian Hayden et al. 2018-06-08
3389,Scirtid broad,Coleoptera,,provided by Brian Hayden et al. 2018-06-08
3390,Scirtid,Coleoptera,,provided by Brian Hayden et al. 2018-06-08
3391,scleractinian coral polyps,Scleractinia,,provided by Brian Hayden et al. 2018-06-08
3392,scleractinian corals,Scleractinia,,provided by Brian Hayden et al. 2018-06-08
3393,Scleractinian corals,Scleractinia,,provided by Brian Hayden et al. 2018-06-08
3394,scleractinian polyps,Scleractinia,,provided by Brian Hayden et al. 2018-06-08
3395,Scleractinian,Scleractinia,,provided by Brian Hayden et al. 2018-06-08
3396,Scleractinians,Scleractinia,,provided by Brian Hayden et al. 2018-06-08
3397,Sclerotinia trifoliorum var. fabae,Sclerotinia trifoliorum var. fabae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Sclerotinia%20trifoliorum%20var.%20fabae&spKey=BMSSYS0000016751
3398,Sclopsis,Scolopsis,,provided by Brian Hayden et al. 2018-06-08
3399,Scoleciththrix,Scolecitrichidae,,provided by Brian Hayden et al. 2018-06-08
3400,scolecitrichids,Scolecitrichidae,,provided by Brian Hayden et al. 2018-06-08
3401,Scomber japonicus,Scomber japonicus,,provided by Brian Hayden et al. 2018-06-08
3402,Scomberomorous cavalla,Scomberomorus cavalla,,assuming typo
3403,Scomberomorous maculatus,Scomberomorus maculatus,,assuming typo
3404,S. comberomorus maculatus,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3405,Scomber scrombus,Scomber scombrus,Barnes 2008,
3406,Scombomorus maculatus,Scomberomorus maculatus,,assuming typo
3407,scombrid,Scombridae,,provided by Brian Hayden et al. 2018-06-08
3408,scombrids,Scombridae,,provided by Brian Hayden et al. 2018-06-08
3409,Scopelarchidae,scorpaenidae,,provided by Brian Hayden et al. 2018-06-08
3410,Scopelarchid,scorpaenidae,,provided by Brian Hayden et al. 2018-06-08
3411,scorpaenids,scorpaenidae,,provided by Brian Hayden et al. 2018-06-08
3412,Scorpionfish sp.,Scorpaenidae,,
3413,scorpion,Scorpiones,,provided by Brian Hayden et al. 2018-06-08
3414,scorpion - spiders,anthropoda,,provided by Brian Hayden et al. 2018-06-08
3415,scoter,Melanitta,,provided by Brian Hayden et al. 2018-06-08
3416,Scritidae,Scirtoidea,,provided by Brian Hayden et al. 2018-06-08
3417,Scycionia,Sycionia,,provided by Brian Hayden et al. 2018-06-08
3418,Scyliorhinus caniculata,Scyliorhinus canicula,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=105814
3419,Scyllarides aequinocitalis,Scyllarides aequinoctialis,,provided by Brian Hayden et al. 2018-06-08
3420,Scyllarides aequinoctalis,Scyllarides aequinoctialis,,provided by Brian Hayden et al. 2018-06-08
3421,Scyllarides elizabethae,Scyllarides elisabethae,,provided by Brian Hayden et al. 2018-06-08
3422,scyllarid lobster,Scyllaridae,,provided by Brian Hayden et al. 2018-06-08
3423,scyllarid lobsters,Scyllaridae,,provided by Brian Hayden et al. 2018-06-08
3424,scyllarid,Scyllaridae,,provided by Brian Hayden et al. 2018-06-08
3425,Scyllaris,Scyllarides,,provided by Brian Hayden et al. 2018-06-08
3426,Scypha barbadiensis,Scypha barbadensis,,provided by Brian Hayden et al. 2018-06-08
3427,scyphozoan,Scyphozoa,,provided by Brian Hayden et al. 2018-06-08
3428,Scyphozoan,Scyphozoa,,provided by Brian Hayden et al. 2018-06-08
3429,scyphozoans,Scyphozoa,,provided by Brian Hayden et al. 2018-06-08
3430,Scyphozoans,Scyphozoa,,provided by Brian Hayden et al. 2018-06-08
3431,S. dorsalis,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3432,Sea anemone,Actiniaria,,
3433,sea birds,Aves,,Term corrected to scientific notation by BrianHayden
3434,sea cucumbers,Holothuroidea,,Term corrected to scientific notation by BrianHayden
3435,seagrasses,Alismatales,,provided by Brian Hayden et al. 2018-06-08
3436,seagrass fronds,Alismatales,,provided by Brian Hayden et al. 2018-06-08
3437,seahorse,Hippocampus,,provided by Brian Hayden et al. 2018-06-08
3438,sea lily,Crinoidea,,provided by Brian Hayden et al. 2018-06-08
3439,sea robins,Triglidae,,provided by Brian Hayden et al. 2018-06-08
3440,sea star,Asteroidea,,provided by Brian Hayden et al. 2018-06-08
3441,sea stars/brittle stars,Ophiuroidea,,Term corrected to scientific notation by BrianHayden
3442,seatrout,Salmo trutta,,provided by Brian Hayden et al. 2018-06-08
3443,sea urchins,Echinoidea,,Term corrected to scientific notation by BrianHayden
3444,seaweeds algae,Algae,,provided by Brian Hayden et al. 2018-06-08
3445,Sebaster minor,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3446,Secernentae,Secernentea,,provided by Brian Hayden et al. 2018-06-08
3447,Secernentia nematodes,Secernentae,,suspected usage of combination of typo and common name in SPIRE resource
3448,Sedentari,Sedentaria,,provided by Brian Hayden et al. 2018-06-08
3449,sedentary polychaete,Polychaeta,,provided by Brian Hayden et al. 2018-06-08
3450,sedentary polychaetes,Polychaeta,,provided by Brian Hayden et al. 2018-06-08
3451,sedimented detritus,detritus,,provided by Brian Hayden et al. 2018-06-08
3452,sediments,inorganic,,provided by Brian Hayden et al. 2018-06-08
3453,Seeds,Plantae,,
3454,SELACHIOMORPHA,Selachimorpha,,provided by Brian Hayden et al. 2018-06-08
3455,Selar crumenophthalmus,Selar crumenophthalmus,,provided by Brian Hayden et al. 2018-06-08
3456,SEMILIPECTEN SIMILIS,Similipecten similis,,provided by Brian Hayden et al. 2018-06-08
3457,Semillas,seed,,provided by Brian Hayden et al. 2018-06-08
3458,semi-pelagic crustaceans,crustacea,,provided by Brian Hayden et al. 2018-06-08
3459,S enflata,Sagitta enflata,http://eol.org/pages/11122846/overview,expanded abbreviation for marine species
3460,S. enflata,Sagitta enflata,ITIS; js,
3461,Sepiateuthis sepioidea,Sepioteuthis sepioidea,,provided by Brian Hayden et al. 2018-06-08
3462,Sepiidae,Sepiidae,,provided by Brian Hayden et al. 2018-06-08
3463,sepiids,Sepiolida,,provided by Brian Hayden et al. 2018-06-08
3464,sepiolids,Sepiolida,,provided by Brian Hayden et al. 2018-06-08
3465,Septoria aegopodina var. trailii,Septoria aegopodina var. trailii,BIO_INFO,Found at:  http://eol.org/pages/6616778/overview
3466,Septoria alopecuri var. airae,Septoria alopecuri var. airae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20alopecuri%20var.%20airae&spKey=NHMSYS0001493033
3467,Septoria alopecuri var. calamagrostidis,Septoria alopecuri var. calamagrostidis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20alopecuri%20var.%20calamagrostidis&spKey=NHMSYS0001497463
3468,Septoria alopecuri var. phalaridis,Septoria alopecuri var. phalaridis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20alopecuri%20var.%20phalaridis&spKey=NHMSYS0020819596
3469,Septoria bromi var. arrhenatheri,Septoria bromi var. arrhenatheri,BIO_INFO,Found at:  http://eol.org/pages/6616408/overview
3470,Septoria graminum var. moliniae,Septoria graminum var. moliniae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20graminum%20var.%20moliniae&spKey=NHMSYS0001497483
3471,Septoria paeoniae var. berolinensis,Septoria paeoniae var. berolinensis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Septoria%20paeoniae%20var.%20berolinensis&spKey=NHMSYS0020536132
3472,Septoria petroselini var. torilis,Septoria petroselini var. torilis,BIO_INFO,Found at:  http://eol.org/pages/32482069/overview
3473,Septoria polaris var. scotica,Septoria polaris var. scotica,BIO_INFO,Found at:  http://eol.org/pages/6618488/overview
3474,Sergesthes,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3475,sergestid,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3476,Sergestid,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3477,sergestid shrimp,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3478,sergestid shrimps,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3479,Sergestid shrimps,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3480,sergestids,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3481,sergestiids,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3482,Sergestldae,Sergestidae,,provided by Brian Hayden et al. 2018-06-08
3483,Sergestres arcticus,Eusergestes arcticus,,provided by Brian Hayden et al. 2018-06-08
3484,Seriolis,Serolidae,,provided by Brian Hayden et al. 2018-06-08
3485,serolids,Serolidae,,provided by Brian Hayden et al. 2018-06-08
3486,serpulid polychaetes,Serpulidae,,provided by Brian Hayden et al. 2018-06-08
3487,Serripes laperousi,Serripes,,provided by Brian Hayden et al. 2018-06-08
3488,sersestids,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3489,sessile invertebrates,invertebrate,,provided by Brian Hayden et al. 2018-06-08
3490,sewage,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3491,S. fontinalis,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3492,shark,Elasmobranchii,,provided by Brian Hayden et al. 2018-06-08
3493,sharks,Elasmobranchii,,provided by Brian Hayden et al. 2018-06-08
3494,shelI,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3495,shellfishes,Mollusca,,provided by Brian Hayden et al. 2018-06-08
3496,shells,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3497,shimps,Caridea,,provided by Brian Hayden et al. 2018-06-08
3498,shore birds,Aves,,Term corrected to scientific notation by BrianHayden
3499,short algae,Algae,,provided by Brian Hayden et al. 2018-06-08
3500,Shortjaw lizardfish,Saurida normani,,
3501,Shortwing searobin,Prionotus stearnsi,,
3502,shrimp,Caridea,,
3503,shrimps,Caridea,,
3504,Shrimp carapace,Caridea,Wrast 2008,
3505,shrimp crab,Decapoda,,provided by Brian Hayden et al. 2018-06-08
3506,shrimp-like crustaceans,crustacea,,provided by Brian Hayden et al. 2018-06-08
3507,shrimplike crustaceans,crustacea,,provided by Brian Hayden et al. 2018-06-08
3508,Shrimp parts,Caridea,Wrast 2008,
3509,shrimp prawns,Decapoda,,provided by Brian Hayden et al. 2018-06-08
3510,shrimps crabs,Decapoda,,provided by Brian Hayden et al. 2018-06-08
3511,shrimps/prawns,Caridea,,Term corrected to scientific notation by BrianHayden
3512,shrimps prawns,Decapoda,,provided by Brian Hayden et al. 2018-06-08
3513,Shrimps prawns,Decapoda,,provided by Brian Hayden et al. 2018-06-08
3514,Shrimp telson,Caridea,Wrast 2008,
3515,Shrimp torso,Caridea,Wrast 2008,
3516,Sicionia carinata,Sicyonia carinata,,provided by Brian Hayden et al. 2018-06-08
3517,Sicyona,Sicyonia,http://eol.org/pages/15284,provided by Anne Thessen on 2015-06-05
3518,Sida cristallina,Sida crystallina,,provided by Brian Hayden et al. 2018-06-08
3519,Sididae,Ctenopoda,,provided by Brian Hayden et al. 2018-06-08
3520,Sigara arguata,Sigara arguta,,provided by Brian Hayden et al. 2018-06-08
3521,siliceous algae,Algae,,provided by Brian Hayden et al. 2018-06-08
3522,siliceous sponge,Porifera,,provided by Brian Hayden et al. 2018-06-08
3523,silt,inorganic,,provided by Brian Hayden et al. 2018-06-08
3524,Silt,inorganic,,provided by Brian Hayden et al. 2018-06-08
3525,Silver bellies,Gerres subfasciatus,,provided by Brian Hayden et al. 2018-06-08
3526,silver-colored finfishes,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3527,silver perch,Bidyanus bidyanus,,provided by Brian Hayden et al. 2018-06-08
3528,silversides anchovies fish,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
3529,Simocybe centunculus var. centunculus,Simocybe centunculus var. centunculus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Simocybe%20centunculus%20var.%20centunculus&spKey=NHMSYS0001497555
3530,Simocybe centunculus var. laevigata,Simocybe centunculus var. laevigata,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Simocybe%20centunculus%20var.%20laevigata&spKey=NHMSYS0001497556
3531,Simocybe centunculus var. maritima,Simocybe centunculus var. maritima,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Simocybe%20centunculus%20var.%20maritima&spKey=NHMSYS0001497557
3532,Simocybe centunculus var. obscura,Simocybe centunculus var. obscura,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Simocybe%20centunculus%20var.%20obscura&spKey=NHMSYS0001497558
3533,Simulidae,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3534,simulid insect,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3535,simulid,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3536,Simulid,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3537,simulids,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3538,Simuliidae,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3539,simuliid,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3540,simuliids,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3541,simuliid lavae,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3542,simuliids flies,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3543,simuliid,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3544,Simuliid,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3545,simuliids,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3546,Simulium black fly,Simulidae,,provided by Brian Hayden et al. 2018-06-08
3547,siphlonourid insects,insecta,,provided by Brian Hayden et al. 2018-06-08
3548,siphonophorans,Siphonophorae,,provided by Brian Hayden et al. 2018-06-08
3549,siphonophore,Siphonophorae,,provided by Brian Hayden et al. 2018-06-08
3550,siphon,siphon,,provided by Brian Hayden et al. 2018-06-08
3551,Sipunculid introverts,Sipunculidea,,provided by Brian Hayden et al. 2018-06-08
3552,Sipunculid,Sipunculidea,,provided by Brian Hayden et al. 2018-06-08
3553,Sirigodium,Syringodium,,provided by Brian Hayden et al. 2018-06-08
3554,Skeletonemoideae,Skeletonemataceae,,provided by Brian Hayden et al. 2018-06-08
3555,skipjack tuna,Katsuwonus pelamis,,provided by Brian Hayden et al. 2018-06-08
3556,slime molds,Myxogastria,EOL; js,There are other groups in the slime molds.
3557,S. longiceps,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3558,sludgeworms,Tubifex tubifex,,provided by Brian Hayden et al. 2018-06-08
3559,slugs,gastropoda,,provided by Brian Hayden et al. 2018-06-08
3560,slugs worms,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3561,Small Kelletia,Buccinidae,,mapping provided by Brian Hayden
3562,Small terrestrial inverts,Animalia,,
3563,Smelt algae,Algae,,provided by Brian Hayden et al. 2018-06-08
3564,snail opercle,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3565,Snails,Gastropoda,,
3566,snail shells,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3567,snails sea slugs,Mollusca,,provided by Brian Hayden et al. 2018-06-08
3568,snakes - turtles,Reptilia,,provided by Brian Hayden et al. 2018-06-08
3569,snapping shrimp,Alpheidae,,provided by Brian Hayden et al. 2018-06-08
3570,Snyodens foetens,Synodus foetens,http://eol.org/pages/225007,provided by Anne Thessen on 2015-06-05
3571,Soeln capensis,Solen capensis,,provided by Brian Hayden et al. 2018-06-08
3572,soft plants,Plantae,,provided by Brian Hayden et al. 2018-06-08
3573,soft-shelled mollusks,Mollusca,,provided by Brian Hayden et al. 2018-06-08
3574,Solanocera atlantidis,Solenocera atlantidis,Torruco and Gonzalez 1994,
3575,Solanum sanctae-catharinae,Solanum sanctaecatharinae,,provided by Brian Hayden et al. 2018-06-08
3576,soldierfly,Stratiomyidae,,provided by Brian Hayden et al. 2018-06-08
3577,Solenacea,Solenocera,,provided by Brian Hayden et al. 2018-06-08
3578,Solon cylindraceus animal,Solen cylindraceus,,provided by Brian Hayden et al. 2018-06-08
3579,Solon cylindraceus siphon tips,Solen cylindraceus,,provided by Brian Hayden et al. 2018-06-08
3580,Spangled,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3581,sparids,Sparidae,,provided by Brian Hayden et al. 2018-06-08
3582,Sparisoma atomarius,Sparisoma atomarium,,provided by Brian Hayden et al. 2018-06-08
3583,spatangoids,Spatangoida,,provided by Brian Hayden et al. 2018-06-08
3584,Speotyto cunicularia,Speotyto cunicularia,,provided by Brian Hayden et al. 2018-06-08
3585,spermatophytes,Spermatophyta,,provided by Brian Hayden et al. 2018-06-08
3586,Sphaerobrotrys,Sphaeroma,,provided by Brian Hayden et al. 2018-06-08
3587,Sphaeromais,Sphaeroma,,provided by Brian Hayden et al. 2018-06-08
3588,sphaeromids,Sphyraena,,provided by Brian Hayden et al. 2018-06-08
3589,Spheciosponia cuspidifera,Spheciospongia cuspidifera,Roopnarine et al 2013,Found at:  http://gni.globalnames.org/data_sources/30?page=224&search_term=ns%3ASPH*
3590,Spheciosponia vesparium,Spheciospongia vesparium,EOL; js,probably a spelling error or change in spelling by taxonomists
3591,sphyraenids,Sphyraena,,provided by Brian Hayden et al. 2018-06-08
3592,spicules,Porifera,,provided by Brian Hayden et al. 2018-06-08
3593,spicules sponges,Porifera,,provided by Brian Hayden et al. 2018-06-08
3594,spider,Arachnida,common name,provided by Brian Hayden
3595,spiders,Arachnida,common name,provided by Brian Hayden
3596,Spilocaea photinicola,Spilocaea photinicola,BIO_INFO,Found at:  http://data.gbif.org/species/3538095/
3597,spines echinoids,Echinoidea,,provided by Brian Hayden et al. 2018-06-08
3598,Spiny lumpsucker,Cyclopteridae,,provided by Brian Hayden et al. 2018-06-08
3599,spione rush,Spionidae,,provided by Brian Hayden et al. 2018-06-08
3600,spionid polychaetes,Spionidae,,provided by Brian Hayden et al. 2018-06-08
3601,spionids,Spionidae,,provided by Brian Hayden et al. 2018-06-08
3602,Spirontocaris spinosus,Spirontocaris spinus,,provided by Brian Hayden et al. 2018-06-08
3603,Spiruoidae,Spionidae,,provided by Brian Hayden et al. 2018-06-08
3604,Spisula vladivostokensis,Mactromeris polynyma,,provided by Brian Hayden et al. 2018-06-08
3605,sponge polyps,Porifera,,provided by Brian Hayden et al. 2018-06-08
3606,sponge spicules,Porifera,,provided by Brian Hayden et al. 2018-06-08
3607,Sponges,Porifera,,
3608,sponges spicules,Porifera,,provided by Brian Hayden et al. 2018-06-08
3609,sponges/tunicates,Animalia,,
3610,Spongontrochus,Spongotrochus,,provided by Brian Hayden et al. 2018-06-08
3611,Spongospora subterranea f.sp. subterranea,Spongospora subterranea f.sp. subterranea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Spongospora%20subterranea%20f.sp.%20subterranea&spKey=BMSSYS0000017651
3612,spores,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3613,Sporidesmiella hyalosperma var. hyalosperma,Sporidesmiella hyalosperma var. hyalosperma,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Sporidesmiella%20hyalosperma%20var.%20hyalosperma&spKey=BMSSYS0000017663
3614,Spot,Leiostomus xanthurus,,
3615,spp.,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3616,Spring salmon,Oncorhynchus tshawytscha,,provided by Brian Hayden et al. 2018-06-08
3617,sqiuds,Teuthida,,provided by Brian Hayden et al. 2018-06-08
3618,Squ empusa,Squilla empusa,,
3619,Squeteague,Cynoscion regalis,,provided by Brian Hayden et al. 2018-06-08
3620,squid,Teuthida,,
3621,squids,Teuthida,,
3622,Squid beak,Teuthida,Wrast 2008,
3623,squids/cuttlefish,Decapodiformes,,Term corrected to scientific notation by BrianHayden
3624,squids/cuttlefish,Decapodiformes,,Term corrected to scientific notation by BrianHayden
3625,squids cuttlefishes,Cephalopoda,,provided by Brian Hayden et al. 2018-06-08
3626,squid unidentified,Teuthida,Barnes 2008,
3627,Squilla pamensis,Squilla panamensis,,provided by Brian Hayden et al. 2018-06-08
3628,Squilla post,Squillidae,,provided by Brian Hayden et al. 2018-06-08
3629,S. setapinnis,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3630,SspB2 bivalves,Bivalvia,,provided by Brian Hayden et al. 2018-06-08
3631,SspB3 epifauna feeders,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3632,stages crabs,Brachyura,,provided by Brian Hayden et al. 2018-06-08
3633,Stagonospora aquatica var. luzulicola,Stagonospora aquatica var. luzulicola,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Stagonospora%20aquatica%20var.%20luzulicola&spKey=BMSSYS0000017843
3634,Stagonospora arenaria var. arenaria,Stagonospora arenaria var. arenaria,BIO_INFO,Found at:  http://eol.org/pages/6518925/overview
3635,Stagonospora arenaria var. minor,Stagonospora arenaria var. minor,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Stagonospora%20arenaria%20var.%20minor&spKey=BMSSYS0000017845
3636,Stagonospora hygrophila var. vermiformis,Stagonospora hygrophila var. vermiformis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Stagonospora%20hygrophila%20var.%20vermiformis&spKey=NHMSYS0020000019
3637,stalked ciliate protozoan,Ciliophora,,provided by Brian Hayden et al. 2018-06-08
3638,starfishes,Asteroidea,,provided by Brian Hayden et al. 2018-06-08
3639,Stargazer fish,Asteroidea,,provided by Brian Hayden et al. 2018-06-08
3640,stars fishes,Asteroidea,,provided by Brian Hayden et al. 2018-06-08
3641,Staurostrum,Staurastrum,,provided by Brian Hayden et al. 2018-06-08
3642,Steganoporella neozelanica,Steginoporella neozelanica,,provided by Brian Hayden et al. 2018-06-08
3643,Stempelinella,Chironomidae,,mapping provided by Brian Hayden
3644,stems plants,Embryophyta,,provided by Brian Hayden et al. 2018-06-08
3645,Stenosemellla,Stenosemella,,provided by Brian Hayden et al. 2018-06-08
3646,Stenoteuthis oualaniensis,Sthenoteuthis oualaniensis,,provided by Brian Hayden et al. 2018-06-08
3647,Stenoteuthis pteropus,Sthenoteuthis pteropus,,provided by Brian Hayden et al. 2018-06-08
3648,Steophiura nodosa,Stegophiura nodosa,,provided by Brian Hayden et al. 2018-06-08
3649,Stephus longipes,Stephos longipes,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=345365
3650,Sternaspidae,Sternaspis,,provided by Brian Hayden et al. 2018-06-08
3651,Sternaspis scutate,Sternaspis scutata,,provided by Brian Hayden et al. 2018-06-08
3652,sternophychids,sternoptychidae,,provided by Brian Hayden et al. 2018-06-08
3653,sternoptichids,sternoptychidae,,provided by Brian Hayden et al. 2018-06-08
3654,sternoptychids,sternoptychidae,,provided by Brian Hayden et al. 2018-06-08
3655,sternoptychid,sternoptychidae,,provided by Brian Hayden et al. 2018-06-08
3656,Sternorynchus seticornis,Stenorhynchus seticornis,,provided by Brian Hayden et al. 2018-06-08
3657,stichaeids,Stichaeus,,provided by Brian Hayden et al. 2018-06-08
3658,Stickleback,Gasterosteidae,,provided by Brian Hayden et al. 2018-06-08
3659,Stolephporus,Stolephorus,,provided by Brian Hayden et al. 2018-06-08
3660,stomatopod alima,Stomatopoda,,provided by Brian Hayden et al. 2018-06-08
3661,stomatopods,Stomatopoda,,Term corrected to scientific notation by BrianHayden
3662,stomatopod,Stomatopoda,,provided by Brian Hayden et al. 2018-06-08
3663,Stomatopod,Stomatopoda,,provided by Brian Hayden et al. 2018-06-08
3664,stomiids,Stomiiformes,,provided by Brian Hayden et al. 2018-06-08
3665,stomiiforms,Stomiiformes,,provided by Brian Hayden et al. 2018-06-08
3666,stone flies,Plecoptera,,provided by Brian Hayden et al. 2018-06-08
3667,stonefly naiads,Plecoptera,,provided by Brian Hayden et al. 2018-06-08
3668,stratiomyid,stratiomyidae,,provided by Brian Hayden et al. 2018-06-08
3669,stream insects,insecta,,provided by Brian Hayden et al. 2018-06-08
3670,Stresblospio shrubsolii,Streblospio shrubsolii,,provided by Brian Hayden et al. 2018-06-08
3671,striped mummichog,Fundulus majalis,,provided by Brian Hayden et al. 2018-06-08
3672,Stromateoidei,Stromateidae,,provided by Brian Hayden et al. 2018-06-08
3673,Stronglyocentrotus,Strongylocentrotus,,provided by Brian Hayden et al. 2018-06-08
3674,Stropharia squamosa var. thrausta,Stropharia squamosa var. thrausta,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Stropharia%20squamosa%20var.%20thrausta&spKey=BMSSYS0000018142
3675,sturgeon,Acipenseridae,,provided by Brian Hayden et al. 2018-06-08
3676,Stylaroides plumosa,Pherusa plumosa,,provided by Brian Hayden et al. 2018-06-08
3677,Stylela montereyensis,Styela montereyensis,,mapping provided by Brian Hayden
3678,S. typica,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3679,substrate epifauna,Fauna,,provided by Brian Hayden et al. 2018-06-08
3680,substrate,inorganic,,provided by Brian Hayden et al. 2018-06-08
3681,Suillus bresadolae var. flavogriseus,Suillus bresadolae var. flavogriseus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Suillus%20bresadolae%20var.%20flavogriseus&spKey=NHMSYS0001499271
3682,surface algae,Algae,,provided by Brian Hayden et al. 2018-06-08
3683,surface bait,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3684,surface deepsea fishes,Unidentified,,provided by Brian Hayden et al. 2018-06-08
3685,surface-dwelling spiders,Araneae,,provided by Brian Hayden et al. 2018-06-08
3686,surface insects,Insecta,,provided by Brian Hayden et al. 2018-06-08
